party,poster,user_count,post_count
SDP,SPD Kreisverband Osnabrück-Land,1,1
SDP,SPD Kreisverband Schleswig-Flensburg,1,1
SDP,SPD Kreisverband Segeberg Ufuk Dügün Salonu,1,1
SDP,SPD Kreisverband Wilhelmshaven,1,1
SDP,SPD Lahn-Dill,1,1
SDP,SPD Landkreis Lüneburg,1,1
SDP,SPD Lichtenberg,1,1
SDP,SPD Linden-Limmer,1,1
SDP,Spd Lisdorf,1,1
SDP,SPD Ludwigshafen,1,1
SDP,SPD Mannheim,1,1
SDP,SPD München,1,1
SDP,SPD Niederbayern,1,1
SDP,SPD Nordstadt-Schunteraue,1,1
SDP,SPD-Ortsverein Anklam,1,1
SDP,"SPD Ortsverein Böhlen/Zwenkau/Rötha Mölbis, Sachsen, Germany",1,1
SDP,SPD Ortsverein Buchholz in der Nordheide,1,1
SDP,SPD Ortsverein Konradsiedlung-Wutzlhofen ruthe.de,1,1
SDP,SPD Ortsverein Leer/Ostfriesland Leer (Ostfriesland),1,1
SDP,SPD Ortsverein Uelzen Birgit Gercken,1,1
SDP,SPD Ortsverein Uelzen Friederike Knust,1,1
SDP,SPD Ortsverein Uelzen Im Stadtgarten,1,1
SDP,SPD Ortsverein Uelzen Klaus Knust,1,1
SDP,SPD Ortsverein Uelzen Oldenstaedter See,1,1
SDP,SPD Osdorf,1,1
SDP,SPD Osnabrück,1,1
SDP,SPD Ratsfraktion Hannover,1,1
SDP,SPD Ratsfraktion Hannover Rathaus,1,1
SDP,SPD Regensburg Evelyn Kolbe-Stockert,1,1
SDP,SPD Regensburg Gewerkschaftshaus Regensburg - Paradiesgarten,1,1
SDP,SPD Rheinbach,1,1
SDP,SPD Rheinland-Pfalz,1,1
SDP,SPD Rinteln,1,1
SDP,SPD Sachsen,1,1
SDP,SPD Salach,1,1
SDP,SPD Samtgemeinde Schwarmstedt,1,1
SDP,SPD Sankt Augustin,1,1
SDP,SPD Schleswig-Holstein,1,1
SDP,SPD Schwaigern,1,1
SDP,SPD Schwerin Schwerin,1,1
SDP,SPD Stadtratsfraktion Regensburg,1,1
SDP,SPD Stadtratsfraktion Regensburg Klaus Rappert Stadtpark Regensburg,1,1
SDP,"SPD-Stadtverband Alfeld (Leine) Alfeld, Niedersachsen, Germany",1,1
SDP,SPD-Stadtverband Alfeld (Leine) Landkreis Hildesheim,1,1
SDP,SPD-Stadtverband Elze,1,1
SDP,SPD Titisee-Neustadt Tanja Kühnel,1,1
SDP,SPD-Treff Dortmund-Wickede,1,1
SDP,SPD Uelzen/Lüchow-Dannenberg Hitzacker,1,1
SDP,SPD-Unterbezirk Nienburg Nienburg/Weser,1,1
SDP,SPD-Unterbezirk Regensburg Klaus Rappert,1,1
SDP,SPD Vahrenwald-List,1,1
SDP,SPD Varel BewerberInnen der SPD Varel,1,1
SDP,SPD Vechelde,1,1
SDP,SPD Verden,1,1
SDP,SPD von unten,1,1
SDP,SPD Wandsbek,1,1
